2		
1	83979	1
2	70206	1
3	70205	1
4	83988	1
5	83987	1
6	19240	2
7	19239	2
8	23308	2
9	23309	2
10	11986	2
11	19232	2
12	11985	2
13	19231	2
14	23321	2
15	23320	2
16	23276	2
17	23277	2
18	19255	2
19	19256	2
20	23300	2
21	23301	2
22	19219	2
23	19220	2
24	19235	2
25	19236	2
26	11382	2
27	11379	2
28	23305	2
29	19223	2
30	19224	2
31	23293	2
32	23292	2
33	23285	2
34	23284	2
35	19252	2
36	19251	2
37	23304	2
38	19244	2
39	11849	2
40	11850	2
41	19228	2
42	11990	2
43	11987	2
44	23312	2
45	19243	2
46	23313	2
47	19259	2
48	23280	2
49	23296	2
50	23281	2
51	19260	2
52	23316	2
53	23317	2
54	19227	2
55	200730	2
56	2451	2
57	200729	2
58	23295	2
