34					
1	207197	210156	210155	1	1
2	207200	210159	210158	1	1
3	207199	210158	210157	1	1
4	207198	210156	210157	1	1
5	207203	210161	210162	1	1
6	207201	210159	210160	1	1
7	207202	210161	210160	1	1
8	207205	210163	210164	1	1
9	207204	210163	210162	1	1
10	207206	210165	210164	1	1
11	207207	210166	210165	1	1
12	207208	210166	210167	1	1
13	207209	210168	210167	1	1
14	207210	210168	210169	1	1
15	207211	210170	210169	1	1
16	207212	210170	210171	1	1
17	207213	210171	210172	1	1
18	207214	210172	210173	1	1
19	207215	210173	210174	1	1
20	207216	210174	210175	1	1
21	207217	210175	210176	1	1
22	207218	210176	210177	1	1
23	207219	210178	210177	1	1
24	207220	210178	210179	1	1
25	207221	210179	210180	1	1
26	207222	210180	210181	1	1
27	207223	210181	210182	1	1
28	207225	210184	210183	1	1
29	207224	210182	210183	1	1
30	207226	210184	210185	1	1
31	207227	210185	210186	1	1
32	207229	210188	210187	1	1
33	207228	210186	210187	1	1
34	207230	210188	210189	1	1
