58					
1	83979	115483	100603	1	10
2	70206	100603	100602	1	10
3	70205	100602	100601	1	10
4	83988	100601	115489	1	10
5	83987	115489	100567	1	10
6	19240	25705	36329	2	10
7	19239	36328	36329	2	10
8	23308	25995	41903	2	10
9	23309	36328	41903	2	10
10	11986	25995	25994	2	10
11	19232	36318	25993	2	10
12	11985	25994	25993	2	10
13	19231	36318	36317	2	10
14	23321	36317	41911	2	10
15	23320	41911	36358	2	10
16	23276	36301	41880	2	10
17	23277	41880	36354	2	10
18	19255	36355	36354	2	10
19	19256	36355	36358	2	10
20	23300	24733	41898	2	10
21	23301	41898	36297	2	10
22	19219	36298	36297	2	10
23	19220	36301	36298	2	10
24	19235	36324	36323	2	10
25	19236	36324	24741	2	10
26	11382	24736	24741	2	10
27	11379	24733	24736	2	10
28	23305	41900	36305	2	10
29	19223	36306	36305	2	10
30	19224	36306	36309	2	10
31	23293	41892	36323	2	10
32	23292	41892	36309	2	10
33	23285	41887	36346	2	10
34	23284	41887	25696	2	10
35	19252	36347	36350	2	10
36	19251	36346	36347	2	10
37	23304	41900	36350	2	10
38	19244	36335	25694	2	10
39	11849	25694	25695	2	10
40	11850	25696	25695	2	10
41	19228	36313	26004	2	10
42	11990	26004	25999	2	10
43	11987	25999	25996	2	10
44	23312	25996	41906	2	10
45	19243	36335	36334	2	10
46	23313	36334	41906	2	10
47	19259	36362	36363	2	10
48	23280	41884	41883	2	10
49	23296	41893	41883	2	10
50	23281	41884	36362	2	10
51	19260	36363	36366	2	10
52	23316	36366	41908	2	10
53	23317	36312	41908	2	10
54	19227	36313	36312	2	10
55	200730	205746	11512	2	10
56	2451	5637	5640	2	10
57	200729	5640	205746	2	10
58	23295	41893	11512	2	10
